cell_id,instance_id,harness,cond,arm,exclusion_reason,evidence
pro__instance_internetarchive__openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8-v29f82c9cf21d57b242f8d8b0e541525d259e2d63__opencode__opus__s0,instance_internetarchive__openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,opencode,l1,OpenCode,git_history_leak,git show 1351c59fd -> openlibrary/catalog/.../<gold file>
pro__instance_gravitational__teleport-d873ea4fa67d3132eccba39213c1ca2f52064dcc-vce94f93ad1030e3136852817f2423c1b3ac37bc4__supercoder__opus__s0__off,instance_gravitational__teleport-d873ea4fa67d3132eccba39213c1ca2f52064dcc-vce94f93ad1030e3136852817f2423c1b3ac37bc4,supercoder,off,SC-OFF,provider_truncation,provider API 400 (role:'tool' SSE truncation) — not engine quality
pro__instance_qutebrowser__qutebrowser-9b71c1ea67a9e7eb70dd83214d881c2031db6541-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d__opencode__opus__s0,instance_qutebrowser__qutebrowser-9b71c1ea67a9e7eb70dd83214d881c2031db6541-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,opencode,l1,OpenCode,leak_detected,agent reached gold outside scrubbed tree (network fetch / re-mined base ancestry)
pro__instance_gravitational__teleport-3fa6904377c006497169945428e8197158667910-v626ec2a48416b10a88641359a169d99e935ff037__supercoder__opus__s0__on,instance_gravitational__teleport-3fa6904377c006497169945428e8197158667910-v626ec2a48416b10a88641359a169d99e935ff037,supercoder,on,SC-ON,scrub_failed,leak-gate scrub = DIRTY (future git objects survived prune)
pro__instance_gravitational__teleport-3fa6904377c006497169945428e8197158667910-v626ec2a48416b10a88641359a169d99e935ff037__supercoder__opus__s0__off,instance_gravitational__teleport-3fa6904377c006497169945428e8197158667910-v626ec2a48416b10a88641359a169d99e935ff037,supercoder,off,SC-OFF,scrub_failed,leak-gate scrub = DIRTY (future git objects survived prune)
pro__instance_gravitational__teleport-3fa6904377c006497169945428e8197158667910-v626ec2a48416b10a88641359a169d99e935ff037__opencode__opus__s0,instance_gravitational__teleport-3fa6904377c006497169945428e8197158667910-v626ec2a48416b10a88641359a169d99e935ff037,opencode,l1,OpenCode,scrub_failed,leak-gate scrub = DIRTY (future git objects survived prune)
polybench__huggingface__transformers-7374__supercoder__opus__s0__off,huggingface__transformers-7374,supercoder,off,SC-OFF,provider_truncation,provider API 400 (role:'tool' SSE truncation) — not engine quality
pro__instance_ansible__ansible-83fb24b923064d3576d473747ebbe62e4535c9e3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5__supercoder__opus__s0__on,instance_ansible__ansible-83fb24b923064d3576d473747ebbe62e4535c9e3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,supercoder,on,SC-ON,scrub_failed,leak-gate scrub = DIRTY (future git objects survived prune)
pro__instance_ansible__ansible-83fb24b923064d3576d473747ebbe62e4535c9e3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5__supercoder__opus__s0__off,instance_ansible__ansible-83fb24b923064d3576d473747ebbe62e4535c9e3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,supercoder,off,SC-OFF,scrub_failed,leak-gate scrub = DIRTY (future git objects survived prune)
pro__instance_ansible__ansible-83fb24b923064d3576d473747ebbe62e4535c9e3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5__opencode__opus__s0,instance_ansible__ansible-83fb24b923064d3576d473747ebbe62e4535c9e3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,opencode,l1,OpenCode,scrub_failed,leak-gate scrub = DIRTY (future git objects survived prune)
pro__instance_gravitational__teleport-cb712e3f0b06dadc679f895daef8072cae400c26-vee9b09fb20c43af7e520f57e9239bbcf46b7113d__supercoder__opus__s0__on,instance_gravitational__teleport-cb712e3f0b06dadc679f895daef8072cae400c26-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,supercoder,on,SC-ON,git_history_leak,git show b0aa4a940 -> lib/.../<gold file>
pro__instance_future-architect__vuls-999529a05b202b0fd29c6fca5039a4c47a3766bb__supercoder__opus__s0__on,instance_future-architect__vuls-999529a05b202b0fd29c6fca5039a4c47a3766bb,supercoder,on,SC-ON,provider_truncation,provider API 400 (role:'tool' SSE truncation) — not engine quality
pro__instance_future-architect__vuls-999529a05b202b0fd29c6fca5039a4c47a3766bb__supercoder__opus__s0__off,instance_future-architect__vuls-999529a05b202b0fd29c6fca5039a4c47a3766bb,supercoder,off,SC-OFF,provider_truncation,provider API 400 (role:'tool' SSE truncation) — not engine quality
pro__instance_ansible__ansible-5f4e332e3762999d94af27746db29ff1729252c1-v0f01c69f1e2528b935359cfe578530722bca2c59__supercoder__opus__s0__off,instance_ansible__ansible-5f4e332e3762999d94af27746db29ff1729252c1-v0f01c69f1e2528b935359cfe578530722bca2c59,supercoder,off,SC-OFF,git_history_leak,git show b7ef2c1589 -> lib/ansible/config/<gold file>
pro__instance_ansible__ansible-5f4e332e3762999d94af27746db29ff1729252c1-v0f01c69f1e2528b935359cfe578530722bca2c59__opencode__opus__s0,instance_ansible__ansible-5f4e332e3762999d94af27746db29ff1729252c1-v0f01c69f1e2528b935359cfe578530722bca2c59,opencode,l1,OpenCode,git_history_leak,git show b7ef2c1589 -> lib/ansible/config/<gold file> (+ test file)
pro__instance_qutebrowser__qutebrowser-479aa075ac79dc975e2e949e188a328e95bf78ff-vc2f56a753b62a190ddb23cd330c257b9cf560d12__opencode__opus__s0,instance_qutebrowser__qutebrowser-479aa075ac79dc975e2e949e188a328e95bf78ff-vc2f56a753b62a190ddb23cd330c257b9cf560d12,opencode,l1,OpenCode,leak_detected,agent reached gold outside scrubbed tree (network fetch / re-mined base ancestry)
polybench__trinodb__trino-1512__opencode__opus__s0,trinodb__trino-1512,opencode,l1,OpenCode,leak_detected,agent reached gold outside scrubbed tree (network fetch / re-mined base ancestry)
pro__instance_flipt-io__flipt-2ce8a0331e8a8f63f2c1b555db8277ffe5aa2e63__opencode__opus__s0,instance_flipt-io__flipt-2ce8a0331e8a8f63f2c1b555db8277ffe5aa2e63,opencode,l1,OpenCode,install_failure,harness install step failed (non-zero rc)
pro__instance_gravitational__teleport-6eaaf3a27e64f4ef4ef855bd35d7ec338cf17460-v626ec2a48416b10a88641359a169d99e935ff037__supercoder__opus__s0__on,instance_gravitational__teleport-6eaaf3a27e64f4ef4ef855bd35d7ec338cf17460-v626ec2a48416b10a88641359a169d99e935ff037,supercoder,on,SC-ON,scrub_failed,leak-gate scrub = DIRTY (future git objects survived prune)
pro__instance_gravitational__teleport-6eaaf3a27e64f4ef4ef855bd35d7ec338cf17460-v626ec2a48416b10a88641359a169d99e935ff037__supercoder__opus__s0__off,instance_gravitational__teleport-6eaaf3a27e64f4ef4ef855bd35d7ec338cf17460-v626ec2a48416b10a88641359a169d99e935ff037,supercoder,off,SC-OFF,scrub_failed,leak-gate scrub = DIRTY (future git objects survived prune)
pro__instance_gravitational__teleport-6eaaf3a27e64f4ef4ef855bd35d7ec338cf17460-v626ec2a48416b10a88641359a169d99e935ff037__opencode__opus__s0,instance_gravitational__teleport-6eaaf3a27e64f4ef4ef855bd35d7ec338cf17460-v626ec2a48416b10a88641359a169d99e935ff037,opencode,l1,OpenCode,scrub_failed,leak-gate scrub = DIRTY (future git objects survived prune)
pro__instance_navidrome__navidrome-09ae41a2da66264c60ef307882362d2e2d8d8b89__supercoder__opus__s0__off,instance_navidrome__navidrome-09ae41a2da66264c60ef307882362d2e2d8d8b89,supercoder,off,SC-OFF,git_history_leak,git show 47e3fdb1 -> server/subsonic/<gold file>
pro__instance_navidrome__navidrome-d21932bd1b2379b0ebca2d19e5d8bae91040268a__supercoder__opus__s0__on,instance_navidrome__navidrome-d21932bd1b2379b0ebca2d19e5d8bae91040268a,supercoder,on,SC-ON,provider_truncation,provider API 400 (role:'tool' SSE truncation) — not engine quality
pro__instance_qutebrowser__qutebrowser-fcfa069a06ade76d91bac38127f3235c13d78eb1-v5fc38aaf22415ab0b70567368332beee7955b367__supercoder__opus__s0__on,instance_qutebrowser__qutebrowser-fcfa069a06ade76d91bac38127f3235c13d78eb1-v5fc38aaf22415ab0b70567368332beee7955b367,supercoder,on,SC-ON,scrub_failed,leak-gate scrub = DIRTY (future git objects survived prune)
pro__instance_qutebrowser__qutebrowser-fcfa069a06ade76d91bac38127f3235c13d78eb1-v5fc38aaf22415ab0b70567368332beee7955b367__supercoder__opus__s0__off,instance_qutebrowser__qutebrowser-fcfa069a06ade76d91bac38127f3235c13d78eb1-v5fc38aaf22415ab0b70567368332beee7955b367,supercoder,off,SC-OFF,scrub_failed,leak-gate scrub = DIRTY (future git objects survived prune)
pro__instance_qutebrowser__qutebrowser-fcfa069a06ade76d91bac38127f3235c13d78eb1-v5fc38aaf22415ab0b70567368332beee7955b367__opencode__opus__s0,instance_qutebrowser__qutebrowser-fcfa069a06ade76d91bac38127f3235c13d78eb1-v5fc38aaf22415ab0b70567368332beee7955b367,opencode,l1,OpenCode,scrub_failed,leak-gate scrub = DIRTY (future git objects survived prune)
